,init_value,est_value
DD_init,0.6497640807883022,10.777582721816694
P53P_init,0.12917220760973824,0.32277357731981243
EC2,0.732035693086301,2.705394257393641
EC3,0.7403284055089462,6.907755278921775
tau1,0.7441001588342024,0.09784740804443316
kd_dd,0.04253952002835514,2.76229561236569e-06
k_dp,0.7961438567824907,0.9999999999982047
kd_p53,0.20789497172218618,0.011646324619705899
kd_p53p,0.28550545887955064,4.427061601100238e-07
kd_p53_mdm2,0.026014617095142883,0.0006787479089162063
kd_p53p_mdm2,0.4439766245111242,0.009902174516468243
ks_mdm2rna,0.6750033995471206,1.1887552741494902e-05
ks_mdm2_p53p,0.44523930579791055,0.16156363304405078
ks_p21rna,0.016468344381914475,0.0023165445563268724
ks_p21_p53p,0.7058085153403848,11.913385133019077
Km_mdm2,0.8966169113450461,0.08709050326887387
Km_p21,0.32129193768620207,999.9999993345765
Km_btg2,0.5144359971172987,0.38954918889380397
ks_btg2rna,0.1780525971852314,0.02007799403925406
ks_btg2_p53p,0.7180849712357465,0.11592465288341154
sf_p53,0.23108444978213424,68.44939418597752
sf_mdm2,0.7298164333382894,3.446674736053432
sf_p21,0.609385736702299,1.3836055816059631
sf_btg2,0.9664527432079596,1.1039956808137674
offset_p53,0.5720403760013427,-90.47812666874846
offset_mdm2,0.5445551760424062,-3.3477425611886944
offset_p21,0.5944474775003319,-1.327897951843222
offset_btg2,0.717854911915413,-1.0904576526913023
ks_dd,0.0035704040551982055,9.609250036939914e-06
ks_p53rna,1.0,1.0
k_p,0.3032923433375453,0.030245175464546397
ks_p53,0.32813839994065375,0.015521375714398645
kd_mdm2rna,0.7310700344741368,0.12724546149148008
ks_mdm2,1.0,1.0
kd_p21rna,0.21886146496285,0.0061606297271359495
ks_p21,1.0,1.0
kd_btg2rna,0.3221722965685482,0.07260673056922656
ks_btg2,1.0,1.0
