,init_value,est_value
EC2,0.08276670146881351,2.287575020946016
EC3,0.93471582990593,4.6042047222249005
tau1,0.1910443321961186,0.02410897743797598
kd_dd,0.8314590287570858,0.020443752705906777
k_dp,0.23688738689466238,42.379933835866815
kd_p53p,0.9706837943832445,0.20211222390746994
kd_p53_mdm2,0.08962894519121244,3.040500313308673
kd_p53p_mdm2,0.8500622511665216,3.265890550150666
ks_mdm2_p53p,0.08041366343725834,0.007416370831603836
Km_mdm2,0.8773276886069263,1.5327838306210662
ks_p53_c,0.5731315824598253,0.860267269935079
kb_tp53,0.8937261422825726,11.241515246164635
ka_mdm2,0.26209676942789545,0.04599988059573871
kd_c,0.08262306505458639,0.2216533330416909
k_p,0.9857483072060277,26.780416176873054
kd_mdm2rna,0.3979470199160297,0.0014504121512291868
ks_p21rna,0.9101995956459729,0.02974849138892743
ks_p21_p53p,0.9494220945075154,0.14676295264890454
Km_p21,0.112007393119173,2.213221468700254
Km_btg2,0.4701102481932009,1.7107451752668366
ks_btg2rna,0.8819155439156174,0.13620354667101744
ks_btg2_p53p,0.9827068018811423,0.9479838631763075
sf_p53,0.8154345286860915,0.30594418986672123
sf_mdm2,0.14996136178712033,0.17551193235563778
sf_p21,0.7955961190247797,0.14859368144631274
sf_btg2,0.413677797379728,0.064996531272364
offset_p53,0.5311657273177777,-0.26954156085032227
offset_mdm2,0.6678788616125884,-0.09284497960821046
offset_p21,0.33331588591454364,-0.08658512526637296
offset_btg2,0.7844129332408926,-0.03960924025115327
ks_p53rna,1.0,1.0
ks_p53,1.0896289451912125,4.040500313308673
ks_mdm2rna,0.3979470199160297,0.0014504121512291868
ks_mdm2,1.0,1.0
kd_p21rna,0.9101995956459729,0.02974849138892743
ks_p21,1.0,1.0
kd_btg2rna,0.8819155439156174,0.13620354667101744
ks_btg2,1.0,1.0
