"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"replID"	"locationID"	"variable"	"value"
"CIS"	25	"Plate1"	"0"	"HepG2 WT"	"1"	"B02_1"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	25	"Plate1"	"0"	"HepG2 WT"	"1"	"B02_2"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	25	"Plate1"	"0"	"HepG2 WT"	"1"	"B02_3"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	25	"Plate1"	"0"	"HepG2 WT"	"1"	"B02_4"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	10	"Plate1"	"0"	"HepG2 WT"	"1"	"B03_2"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	10	"Plate1"	"0"	"HepG2 WT"	"1"	"B03_3"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	10	"Plate1"	"0"	"HepG2 WT"	"1"	"B03_4"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	5	"Plate1"	"0"	"HepG2 WT"	"1"	"B04_1"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	5	"Plate1"	"0"	"HepG2 WT"	"1"	"B04_2"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	5	"Plate1"	"0"	"HepG2 WT"	"1"	"B04_3"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	2.5	"Plate1"	"0"	"HepG2 WT"	"1"	"B05_1"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	2.5	"Plate1"	"0"	"HepG2 WT"	"1"	"B05_2"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	2.5	"Plate1"	"0"	"HepG2 WT"	"1"	"B05_3"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	2.5	"Plate1"	"0"	"HepG2 WT"	"1"	"B05_4"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	0	"Plate1"	"0"	"HepG2 WT"	"1"	"B06_1"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	0	"Plate1"	"0"	"HepG2 WT"	"1"	"B06_2"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
"CIS"	0	"Plate1"	"0"	"HepG2 WT"	"1"	"B06_3"	"obj_nc_Intensity_MeanIntensity_img_nc"	1
