"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"replID"	"locationID"	"variable"	"value"
"MIT"	45	"Plate2"	"3"	"HepG2 WT"	"1"	"G07_3"	"obj_nc_Children_obj_foci_Count"	2.20512820512821
"MIT"	45	"Plate2"	"3"	"HepG2 WT"	"1"	"G07_4"	"obj_nc_Children_obj_foci_Count"	1.55764075067024
"MIT"	15	"Plate2"	"3"	"HepG2 WT"	"1"	"G08_1"	"obj_nc_Children_obj_foci_Count"	0.493946731234867
"MIT"	15	"Plate2"	"3"	"HepG2 WT"	"1"	"G08_2"	"obj_nc_Children_obj_foci_Count"	0.931477516059957
"MIT"	15	"Plate2"	"3"	"HepG2 WT"	"1"	"G08_3"	"obj_nc_Children_obj_foci_Count"	1.06066945606695
"MIT"	15	"Plate2"	"3"	"HepG2 WT"	"1"	"G08_4"	"obj_nc_Children_obj_foci_Count"	1.18119266055046
"MIT"	7.5	"Plate2"	"3"	"HepG2 WT"	"1"	"G09_1"	"obj_nc_Children_obj_foci_Count"	0.639658848614073
"MIT"	7.5	"Plate2"	"3"	"HepG2 WT"	"1"	"G09_2"	"obj_nc_Children_obj_foci_Count"	0.833333333333333
"MIT"	7.5	"Plate2"	"3"	"HepG2 WT"	"1"	"G09_3"	"obj_nc_Children_obj_foci_Count"	1.04318936877076
"MIT"	7.5	"Plate2"	"3"	"HepG2 WT"	"1"	"G09_4"	"obj_nc_Children_obj_foci_Count"	0.736507936507937
"MIT"	0.75	"Plate2"	"3"	"HepG2 WT"	"1"	"G10_1"	"obj_nc_Children_obj_foci_Count"	1.03714285714286
"MIT"	0.75	"Plate2"	"3"	"HepG2 WT"	"1"	"G10_2"	"obj_nc_Children_obj_foci_Count"	0.132352941176471
"MIT"	0.75	"Plate2"	"3"	"HepG2 WT"	"1"	"G10_3"	"obj_nc_Children_obj_foci_Count"	0.136125654450262
"MIT"	0.75	"Plate2"	"3"	"HepG2 WT"	"1"	"G10_4"	"obj_nc_Children_obj_foci_Count"	0.454545454545455
"MIT"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"G11_1"	"obj_nc_Children_obj_foci_Count"	0.263482280431433
"MIT"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"G11_2"	"obj_nc_Children_obj_foci_Count"	0.772307692307692
"MIT"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"G11_3"	"obj_nc_Children_obj_foci_Count"	0.438877755511022
"MIT"	0	"Plate2"	"3"	"HepG2 WT"	"1"	"G11_4"	"obj_nc_Children_obj_foci_Count"	0.421428571428571
